Algoritmo,Condicion,Cantidad de elementos,Tiempo en segundos
MergeSort,ALEATORIO,100,7.82
MergeSort,ALEATORIO,100,7.83
MergeSort,ALEATORIO,100,7.79
MergeSort,ALEATORIO,100,7.88
QuickSort,ALEATORIO,100,14.22
QuickSort,ALEATORIO,100,13.23
QuickSort,ALEATORIO,100,12.88
QuickSort,ALEATORIO,1000,44.40
QuickSort,ALEATORIO,100,2.51
QuickSort,ALEATORIO,100,2.28
QuickSort,ALEATORIO,100,2.36
QuickSort,ORDENADO,100,20.07
QuickSort,ORDENADO,100,20.19
QuickSort,ORDENADO,20,.85
QuickSort,ALEATORIO,350,10.90
QuickSort,ALEATORIO,350,13.21
QuickSort,ALEATORIO,300,9.12
QuickSort,ALEATORIO,300,9.92
QuickSort,ALEATORIO,100,2.11
QuickSort,ALEATORIO,200,6.34
QuickSort,ALEATORIO,300,10.39
QuickSort,ALEATORIO,300,9.03
QuickSort,ALEATORIO,300,12.39
QuickSort,ALEATORIO,300,9.13
QuickSort,ALEATORIO,300,9.99
QuickSort,ALEATORIO,300,9.20
QuickSort,ALEATORIO,300,9.06
QuickSort,ALEATORIO,300,9.08
QuickSort,ALEATORIO,100,2.25
QuickSort,ALEATORIO,100,2.44
QuickSort,ALEATORIO,100,2.21
QuickSort,ALEATORIO,100,2.19
QuickSort,ALEATORIO,100,2.24
QuickSort,ALEATORIO,100,2.51
QuickSort,ALEATORIO,100,2.56
QuickSort,ALEATORIO,100,2.24
QuickSort,ALEATORIO,100,2.54
QuickSort,ALEATORIO,300,8.40
QuickSort,ALEATORIO,100,2.58
QuickSort,ALEATORIO,100,2.21
QuickSort,ALEATORIO,100,2.81
QuickSort,ALEATORIO,100,2.61
QuickSort,ALEATORIO,100,2.52
